RANK,SCHOOL,FT_PASSED,FT_FAILED,FT_COND,FT_TOTAL,FT_WA Passing Rate,R_PASSED,R_FAILED,R_COND,R_TOTAL,R_WA Passing Rate,OP_PASSED,OP_FAILED,OP_COND,OP_TOTAL,OP_WA Passing Rate
16,DE LA SALLE MEDICAL & HEALTH SCIENCES INST.,205,2,0,207,99.03%,5,1,0,6,83.33%,210,3,0,213,98.59%
17,"SACRED HEART COLLEGE OF LUCENA CITY, INC.",64,0,0,64,100.00%,2,1,0,3,66.67%,66,1,0,67,98.51%
18,BICOL UNIVERSITY-TABACO,120,1,0,121,99.18%,6,1,0,7,85.71%,126,2,0,128,98.44%
19,"VISAYAS STATE UNIVERSITY (for.VISCA,LSU.)-BAYBAY",55,0,0,55,100.00%,0,1,0,1,0.00%,55,1,0,56,98.22%
20,CENTRO ESCOLAR UNIVERSITY- MANILA,194,3,0,197,98.48%,16,1,0,17,94.12%,210,4,0,214,98.13%
21,ATENEO DE NAGA UNIVERSITY,49,0,0,49,100.00%,3,0,1,4,75.00%,52,0,1,53,98.12%
22,IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAMUT,49,1,0,50,98.00%,2,0,0,2,100.00%,51,1,0,52,98.08%
23,CENTRO ESCOLAR UNIVERSITY- MALOLOS,46,1,0,47,97.87%,4,0,0,4,100.00%,50,1,0,51,98.04%
24,MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECH.,143,2,0,145,98.62%,0,1,0,1,0.00%,143,3,0,146,97.95%
25,CEBU CITY MEDICAL CENTER (CC GEN HOSP),90,0,1,91,98.90%,5,1,0,6,83.33%,95,1,1,97,97.94%
26,EASTER COLLEGE INC,85,1,1,87,97.70%,9,0,0,9,100.00%,94,1,1,96,97.92%
27,CENTRAL PHILIPPINE UNIVERSITY,296,1,0,297,99.66%,7,6,0,13,53.84%,303,7,0,310,97.74%
28,FAR EASTERN UNIVERSITY- MANILA,567,9,1,579,97.93%,39,2,0,41,95.12%,606,13,1,620,97.74%
29,BICOL UNIVERSITY-LEGAZPI,147,0,1,148,99.32%,11,3,0,14,78.57%,158,3,1,162,97.53%
30,PALAWAN STATE UNIVERSITY-P. PRINCESA,185,2,1,188,98.40%,7,2,0,9,77.78%,192,4,1,197,97.46%
31,UNIVERSIDAD DE SANTA ISABEL (COL DE STA ISABEL),137,2,0,139,98.56%,10,2,0,12,83.34%,147,4,0,151,97.35%
32,UNIVERSITY OF SAINT LA SALLE,255,4,1,260,98.07%,12,3,0,15,80.00%,267,7,1,275,97.09%
33,FAR EASTERN UNIVERSITY- NICANOR REYES MED.FOUND.,155,3,0,158,98.10%,5,2,0,7,71.43%,160,5,0,165,96.97%
34,NATIONAL UNIVERSITY-MANILA,55,1,0,56,98.21%,5,1,0,6,83.33%,60,2,0,62,96.78%
35,DE LA SALLE UNIVERSITY-LIPA,120,4,0,124,96.78%,6,1,0,7,85.71%,126,5,0,131,96.19%
36,ADVENTIST UNIVERSITY OF THE PHILIPPINES,71,1,0,72,98.61%,13,3,0,16,81.25%,84,4,0,88,95.45%
37,LAGUNA STATE POLYTECHNIC UNIVERSITY-STA. CRUZ (LSPC),83,1,0,84,98.81%,0,3,0,3,0.00%,83,4,0,87,95.40%
38,UNIVERSITY OF PANGASINAN,239,1,0,240,99.58%,23,11,1,35,65.72%,262,12,1,273,95.24%
39,CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,104,1,0,105,99.05%,16,5,0,21,76.19%,120,6,0,126,95.24%
40,TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECH.),204,9,1,214,95.32%,10,1,0,11,90.91%,214,10,1,225,95.11%
41,UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,204,4,0,208,98.08%,27,8,0,35,77.14%,231,12,0,243,95.06%
42,MOUNTAIN VIEW COLLEGE,52,2,0,54,96.30%,5,1,0,6,83.34%,57,3,0,60,95.00%
43,CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,66,0,0,66,100.00%,10,4,0,14,71.43%,76,4,0,80,95.00%
44,BALIUAG UNIVERSITY (BALIUAG COLLEGES),69,1,0,70,98.57%,6,3,0,9,66.66%,75,4,0,79,94.94%
45,SAN LORENZO RUIZ COLLEGE OF ORMOC,84,4,0,88,95.45%,8,1,0,9,88.89%,92,5,0,97,94.84%
46,AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,144,5,0,149,96.65%,2,3,0,5,40.00%,146,8,0,154,94.81%
47,CATANDUANES STATE UNIVERSITY VIRAC,221,7,0,228,96.93%,9,6,0,15,60.00%,230,13,0,243,94.65%
48,UNIVERSITY OF SAN AGUSTIN,135,5,1,141,95.74%,24,3,0,27,88.89%,159,8,1,168,94.64%
49,BILIRAN PROVINCE STATE UNIV- NAVAL(FOR NAVAL S.U.-NAVAL),101,2,1,104,97.12%,4,3,0,7,57.14%,105,5,1,111,94.60%
50,CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),95,0,0,95,100.00%,27,7,0,34,79.41%,122,7,0,129,94.58%
51,BULACAN STATE UNIVERSITY - MALOLOS,225,9,0,234,96.15%,13,5,0,18,72.22%,238,14,0,252,94.45%
52,ADAMSON UNIVERSITY,64,3,0,67,95.52%,2,1,0,3,66.67%,66,4,0,70,94.28%
53,SAINT MARY'S COLLEGE-TAGUM,52,1,0,53,98.12%,13,3,0,16,81.25%,65,4,0,69,94.20%
